entry_time,exit_time,action,entry_price,exit_price,size,status,fee,ideal_pnl,pnl,reason,stop_loss,take_profit,max_profit_price,trailing_stop_active,half_exit_done,original_size
2026-02-18T12:00:07+00:00,2026-02-18T18:43:09+00:00,short,3.547,3.442,2537.36,closed,10.64,266.42,255.78,stop_loss,3.44134,3.4599,3.437,True,True,5074.71
2026-02-18T12:00:07+00:00,2026-02-18T18:42:37+00:00,short,3.547,3.457,2537.36,closed,10.66,228.36,217.7,half_exit_take_profit,3.62273,3.4599,3.457,False,True,5074.71
2026-02-20T12:00:06+00:00,2026-02-20T13:41:10+00:00,short,3.391,3.314,2654.08,closed,10.68,204.36,193.69,stop_loss,3.3096,3.30652,3.306,True,True,5308.17
2026-02-20T12:00:06+00:00,2026-02-20T13:41:01+00:00,short,3.391,3.306,2654.08,closed,10.66,225.6,214.93,half_exit_take_profit,3.46446,3.30652,3.306,False,True,5308.17
2026-02-20T16:00:06+00:00,2026-02-21T00:37:30+00:00,long,3.451,3.477,2607.94,closed,10.84,67.81,56.97,stop_loss,3.47788,3.49633,3.499,True,True,5215.88
2026-02-20T16:00:06+00:00,2026-02-21T00:07:14+00:00,long,3.451,3.497,2607.94,closed,10.87,119.97,109.09,half_exit_take_profit,3.34747,3.49633,3.497,False,True,5215.88
2026-02-22T04:00:05+00:00,2026-02-22T13:44:26+00:00,short,3.568,3.478,2522.42,closed,10.66,227.02,216.35,stop_loss,3.47647,3.48066,3.473,True,True,5044.84
2026-02-22T04:00:05+00:00,2026-02-22T13:41:59+00:00,short,3.568,3.48,2522.42,closed,10.67,221.97,211.31,half_exit_take_profit,3.64395,3.48066,3.48,False,True,5044.84
2026-02-23T03:00:06+00:00,2026-02-23T09:00:05+00:00,short,3.297,3.384,5459.51,closed,21.88,-474.98,-496.86,stop_loss,3.38263,3.19852,3.283,False,False,5459.51
2026-02-24T21:00:08+00:00,2026-02-25T01:11:43+00:00,short,3.342,3.436,5386.0,closed,21.9,-506.28,-528.19,stop_loss,3.43078,3.2399,3.307,False,False,5386.0
2026-02-25T02:00:06+00:00,2026-02-25T12:43:14+00:00,long,3.518,3.656,2558.27,closed,11.01,353.04,342.03,stop_loss,3.65617,3.56901,3.68,True,True,5116.54
2026-02-25T06:00:05+00:00,2026-02-25T12:02:24+00:00,short,3.466,3.573,5193.31,closed,21.93,-555.68,-577.62,stop_loss,3.56998,3.3439,3.451,False,False,5193.31
2026-02-25T02:00:06+00:00,2026-02-25T12:02:19+00:00,long,3.518,3.573,2558.27,closed,10.88,140.7,129.82,half_exit_take_profit,3.41246,3.56901,3.573,False,True,5116.54
2026-02-26T00:00:07+00:00,,short,4.05,,4444.44,open,0.0,0.0,0.0,,4.1715,3.84339,3.963,False,False,4444.44
